Term ID,Term Permalink,Term Name,Term Slug,Description,Parent ID,Parent Name,Parent Slug,Count,Image URL,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,Image Filename,Image Path,Image ID,order,product_pa_color-selector
3481,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%82%d9%87%d9%88%d9%87-%d8%a7%db%8c-%da%af%d9%88%da%86%db%8c-%d8%b1%db%8c%d8%b2,قهوه ای گوچی ریز,%d9%82%d9%87%d9%88%d9%87-%d8%a7%db%8c-%da%af%d9%88%da%86%db%8c-%d8%b1%db%8c%d8%b2,,0,,,2,,,,,,,,,,0,#8B4513
3482,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%85%d8%b4%da%a9%db%8c-%d9%84%d9%88%db%8c%db%8c-%d9%88%db%8c%d8%aa%d9%88%d9%86-%d8%af%d8%b1%d8%b4%d8%aa,مشکی لویی ویتون درشت,%d9%85%d8%b4%da%a9%db%8c-%d9%84%d9%88%db%8c%db%8c-%d9%88%db%8c%d8%aa%d9%88%d9%86-%d8%af%d8%b1%d8%b4%d8%aa,,0,,,1,,,,,,,,,,0,#000000
3483,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%85%d8%b4%da%a9%db%8c-%d8%b7%d8%b1%d8%ad-1,مشکی طرح 1,%d9%85%d8%b4%da%a9%db%8c-%d8%b7%d8%b1%d8%ad-1,,0,,,36,,,,,,,,,,0,#000000
3484,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b7%d9%84%d8%a7%d8%a6%db%8c,طلائی,%d8%b7%d9%84%d8%a7%d8%a6%db%8c,,0,,,2,,,,,,,,,,0,#FFD700
3485,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%85%d8%b4%da%a9%db%8c-%d8%b4%d8%b1%d8%a7%d9%86%da%af,مشکی شرانگ,%d9%85%d8%b4%da%a9%db%8c-%d8%b4%d8%b1%d8%a7%d9%86%da%af,,0,,,14,,,,,,,,,,0,#000000
3486,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b3%d9%81%db%8c%d8%af-%d8%af%db%8c%d9%88%d8%b1,سفید دیور,%d8%b3%d9%81%db%8c%d8%af-%d8%af%db%8c%d9%88%d8%b1,,0,,,7,,,,,,,,,,0,#FFFFFF
3487,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b7%d9%88%d8%b3%db%8c-%d8%aa%db%8c%d8%b1%d9%87,طوسی تیره,%d8%b7%d9%88%d8%b3%db%8c-%d8%aa%db%8c%d8%b1%d9%87,,0,,,34,,,,,,,,,,0,#696969
3488,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%85%d8%b4%da%a9%db%8c-mk-%d8%b1%db%8c%d8%b2,مشکی MK ریز,%d9%85%d8%b4%da%a9%db%8c-mk-%d8%b1%db%8c%d8%b2,,0,,,2,,,,,,,,,,0,#000000
3489,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%85%d8%b4%da%a9%db%8c-%d8%b3%d9%86%da%af%db%8c,مشکی سنگی,%d9%85%d8%b4%da%a9%db%8c-%d8%b3%d9%86%da%af%db%8c,,0,,,7,,,,,,,,,,0,#000000
3490,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%85%d8%b4%da%a9%db%8c-%da%86%d9%87%d8%a7%d8%b1%d8%ae%d9%88%d9%86%d9%87,مشکی چهارخونه,%d9%85%d8%b4%da%a9%db%8c-%da%86%d9%87%d8%a7%d8%b1%d8%ae%d9%88%d9%86%d9%87,,0,,,9,,,,,,,,,,0,#000000
