شناسه,نوع,"شناسه محصول","نام ویژگی 1","مقدار ویژگی 1","ویژگی 1 قابل مشاهده است","ویژگی سراسری 1","نام ویژگی 2","مقدار ویژگی 2","ویژگی 2 قابل مشاهده است","ویژگی سراسری 2","نام ویژگی 3","مقدار ویژگی 3","ویژگی 3 قابل مشاهده است","ویژگی سراسری 3","نام ویژگی 4","مقدار ویژگی 4","ویژگی 4 قابل مشاهده است","ویژگی سراسری 4","نام ویژگی 5","مقدار ویژگی 5","ویژگی 5 قابل مشاهده است","ویژگی سراسری 5","نام ویژگی 6","مقدار ویژگی 6","ویژگی 6 قابل مشاهده است","ویژگی سراسری 6","متا: rank_math_internal_links_processed","متا: __is_newly_created_product","متا: _wp_page_template","متا: __first_variation_id","نام ویژگی 7","مقدار ویژگی 7","ویژگی 7 قابل مشاهده است","ویژگی سراسری 7","نام ویژگی 8","مقدار ویژگی 8","ویژگی 8 قابل مشاهده است","ویژگی سراسری 8","متا: rank_math_seo_score","متا: _prk_selectsizeguide","متا: product_facke_brand_show","متا: product_return_show","متا: special_send_box_single","متا: product_granti_show","متا: product_Original_show","متا: onsales_round","متا: product_hamta_show","متا: product_facke_brand_text","متا: product_return_text","متا: product_hamta_text","متا: progress_sales","متا: prk_add_to_cart_label","متا: prk_product_label","متا: en_pro_name","متا: product_english_name","متا: prk_product_featured_attributes","متا: date_send_pro"
8237,variable,4666,رنگ,"طوسی روشن, طوسی روشن کنفی, کرم روشن, کرم روشن کنفی, مشکی کنفی, نسکافه ای کنفی",0,1,کاربرد,روزمره,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",1,1,1,"تعداد بند",1,1,1,1,,default,8241,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۱۴cm, عرض: ۳۰cm",1,1,,,,,,,,,,,,,,,,,,,
8242,variable,4668,رنگ,"طوسی روشن, طوسی روشن طرح 7, طوسی روشن طرح 8, طوسی روشن طرح 9, نسکافه ای, نسکافه ای طرح 1, نسکافه ای طرح 10, نسکافه ای طرح 2, نسکافه ای طرح 3, نسکافه ای طرح 4, نسکافه ای طرح 5, نسکافه ای طرح 6",0,1,کاربرد,روزمره,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد بند",1,1,1,"جنس رویه","پارچه ای",1,1,1,,default,8251,ابعاد,"طول: ۲۱cm, عرض: ۵cm",1,1,,,,,,,,,,,,,,,,,,,,,,,
8252,variable,4669,رنگ,"سفید, مشکی",0,1,کاربرد,روزمره,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",1,1,1,"تعداد بند",1,1,1,1,,default,8253,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۱۱cm, عرض: ۲۶cm",1,1,,,,,,,,,,,,,,,,,,,
8255,variable,4670,رنگ,"طوسی تیره, طوسی تیره کنفی, طوسی روشن, طوسی روشن کنفی, قهوه ای کنفی, کرم روشن, مشکی نسکافه ای, نسکافه ای کنفی",0,1,کاربرد,روزمره,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد بند",1,1,1,"جنس رویه",کنفی,1,1,1,,default,8261,ابعاد,"طول: ۲۲cm, عرض: ۸cm",1,1,,,,,,,,,,,,,,,,,,,,,,,
8262,variable,4672,رنگ,"قهوه ای, قهوه ای Barbery, کاراملی, کاراملی Barbery, کرم, کرم Barbery, مشکی پارچه ای",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد بند",1,1,1,"جنس رویه","پارچه ای",1,1,1,,default,8265,ابعاد,"طول: ۲۱cm, عرض: ۱۴cm",1,1,,,,,,,,,,,,,,,,,,,,,,,
8267,variable,4674,رنگ,"کاراملی, کاراملی Barbery, کرم, کرم Barbery, مشکی barbery",0,1,کاربرد,روزمره,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد بند",1,1,1,"جنس رویه","چرم مصنوعی",1,1,1,,default,8270,ابعاد,"طول: ۲۲cm, عرض: ۱۶cm",1,1,,,,,,,,,,,,,,,,,,,,,,,
8275,variable,4686,رنگ,"سرمه ای, سرمه ای پارچه ای, مشکی پارچه ای",0,1,کاربرد,اداری,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",1,1,1,"تعداد بند",1,1,1,1,,default,8276,"جنس رویه","پارچه ای",1,1,ابعاد,"طول: ۱۳cm, عرض: ۲۱cm",1,1,,,,,,,,,,,,,,,,,,,
8278,variable,4688,رنگ,"سرمه ای, سرمه ای پارچه ای, مشکی barbery, مشکی پارچه ای",0,1,کاربرد,اداری,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",1,1,1,"تعداد بند",1,1,1,1,,default,9267,"جنس رویه","پارچه ای",1,1,ابعاد,"طول: ۱۷cm, عرض: ۲۵cm",1,1,,,,,,,,,,,,,,,,,,,
8292,variable,4702,رنگ,"سفید LV ریز, سفید MK ریز, سفید دیور, کرم LV درشت, کرم چهارخونه, کرم دیور, مشکی MK درشت, مشکی MK ریز",0,1,کاربرد,روزمره,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",2,1,1,"تعداد بند",1,1,1,1,,default,8294,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۱۸cm, عرض: ۲۸cm",1,1,,,,,,,,,,,,,,,,,,,
8303,variable,4708,رنگ,"آبی, زرشکی, سبز مغز پسته ای, سرمه ای, سفید, صورتی, طوسی روشن, عسلی, قهوه ای, کرم روشن, مشکی, نسکافه ای",0,1,کاربرد,روزمره,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",1,1,1,"تعداد بند",1.0,1,1,1,,default,8308,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۱۶cm, عرض: ۳۰cm, کف: ۸cm",1,1,,,,,,,,,,,,,,,,,,,
8312,variable,4709,رنگ,"عسلی, کرم, کرم روشن, مشکی, نسکافه ای",0,1,کاربرد,روزمره,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",1,1,1,"تعداد بند",1.0,1,1,1,,default,8314,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۲۵cm, عرض: ۱۰cm, کف: ۱۵cm",1,1,,,,,,,,,,,,,,,,,,,
8317,variable,4710,رنگ,"سبز سدری, طوسی تیره, طوسی روشن, عسلی, قهوه ای, کرم, مشکی, مشکی شرانگ, نسکافه ای",0,1,کاربرد,روزمره,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",3,1,1,"تعداد بند",1.0,1,1,1,,default,8318,"جنس رویه","پارچه ای",1,1,ابعاد,"طول: ۲۰cm, عرض: ۱۰cm, کف: ۱۵cm",1,1,,,,,,,,,,,,,,,,,,,
8326,variable,4711,رنگ,"آبی دراگون, آبی کاربنی دراگون, بنفش دراگون, زرد خردلی دراگون, سبز دراگون, سبز سدری دراگون, سرخابی دراگون, سفید دراگون, طوسی روشن دراگون, عسلی دراگون, کرم دراگون, مشکی دراگون, نارنجی دراگون, نسکافه ای دراگون, یاسی دراگون",0,1,کاربرد,روزمره,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",1,1,1,"تعداد بند",2,1,1,1,,default,11671,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۱۸cm, عرض: ۲۳cm",1,1,,,,,,,,,,,,,,,,,,,
8344,variable,4722,رنگ,"سبز مغز پسته ای, سرمه ای, طوسی تیره, عسلی, مشکی, مشکی نانسی, نسکافه ای, نسکافه ای نانسی",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد بند",3,1,1,"جنس رویه","چرم مصنوعی",1,1,1,,default,9294,ابعاد,"طول: ۲۹cm, عرض: ۹cm",1,1,,,,,,,,,,,,,,,,,,,,,,,
8351,variable,4723,رنگ,"سرخابی, سفید, قهوه ای, کاراملی, کرم, مشکی, نسکافه ای",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",ندارد,1,1,"تعداد بند",3.0,1,1,1,,default,8352,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۲۰cm, عرض: ۱۰cm, کف: ۱۵cm",1,1,,,,,,,,,,,,,,,,,,,
8359,variable,4724,رنگ,"مشکی طرح 1, مشکی طرح 2, مشکی طرح 3, مشکی طرح 4, مشکی لویی ویتون داغی",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"تعداد بند",2,1,1,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۳۱cm, عرض: ۷cm",1,1,1,,default,8364,,,,,,,,,,,,,,,,,,,,,,,,,,,
8365,variable,4727,رنگ,"طوسی روشن, طوسی روشن گوچی ریز, کرم چهارخونه, مشکی چهارخونه, نسکافه ای Coach",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"تعداد بند",1,1,1,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۱۷cm, عرض: ۸cm",1,1,1,,default,8369,,,,,,,,,,,,,,,,,,,,,,,,,,,
8372,variable,4729,رنگ,"سرمه ای, قهوه ای, کاراملی, کرم, مشکی",0,1,کاربرد,اسپرت,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",1,1,1,"تعداد بند",1,1,1,"جنس رویه","چرم مصنوعی",1,1,1,,default,8375,ابعاد,"طول: ۱۸cm, عرض: ۷cm",1,1,,,,,,,,,,,,,,,,,,,,,,,
8378,variable,4730,رنگ,"سرمه ای, کرم, نسکافه ای",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",2,1,1,"تعداد بند",1,1,1,1,,default,8380,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۲۰cm, عرض: ۵cm",1,1,,,,,,,,,,,,,,,,,,,
9208,variable,3885,رنگ,"قرمز, قهوه ای, مشکی",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"تعداد جیب داخلی",8,1,1,"تعداد بند",1,1,1,"جنس رویه","چرم مصنوعی",1,1,1,,default,9211,ابعاد,"طول: ۲۰cm, عرض: ۱cm",1,1,,,,,,,,,,,,,,,,,,,,,,,
9212,variable,3886,رنگ,"طوسی تیره, عسلی, قهوه ای, مشکی",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"تعداد جیب داخلی",8,1,1,"تعداد بند",1,1,1,"جنس رویه","چرم مصنوعی",1,1,1,,default,9216,ابعاد,"طول: ۲۸cm, عرض: ۱cm",1,1,,,,,,,,,,,,,,,,,,,,,,,
9217,variable,3887,رنگ,"عسلی, قهوه ای, قهوه ای روشن, مشکی",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"تعداد جیب داخلی",8,1,1,"تعداد بند",1,1,1,"جنس رویه","چرم مصنوعی",1,1,1,,default,9221,ابعاد,"طول: ۲۰cm, عرض: ۱cm",1,1,,,,,,,,,,,,,,,,,,,,,,,
9222,variable,4369,رنگ,"سفید MK درشت, سفید MK ریز, طوسی تیره کنفی, طوسی روشن کنفی, قهوه ای LV, قهوه ای فندی, کرم Coach, کرم LV, کرم پیچازی, کرم گوچی ریز, مشکی MK درشت, مشکی جیوانچی, مشکی دیور, مشکی سنگی",0,1,ابعاد,"طول: nancm, عرض: nancm",1,1,,,,,,,,,,,,,,,,,1,,default,9236,,,,,,,,,,,,,,,,,,,,,,,,,,,
9283,variable,4712,رنگ,"سرمه ای, قهوه ای, کرم, مشکی, نسکافه ای",0,1,کاربرد,روزمره,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",1,1,1,"تعداد بند",2,1,1,1,,default,9288,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۲۶cm, عرض: ۱۶cm",1,1,,,,,,,,,,,,,,,,,,,
9289,variable,4713,رنگ,مشکی,0,1,ابعاد,"طول: ۲۵cm, عرض: ۷cm",1,1,,,,,,,,,,,,,,,,,1,,default,11546,,,,,,,,,,,,,,,,,,,,,,,,,,,
9296,variable,4725,رنگ,"مشکی طرح 11, مشکی طرح 2, مشکی طرح 3, مشکی طرح 6, مشکی طرح 7, مشکی طرح 8, مشکی طرح 9",0,1,ابعاد,"طول: ۲۴cm, عرض: ۹cm",1,1,,,,,,,,,,,,,,,,,1,,default,9303,,,,,,,,,,,,,,,,,,,,,,,,,,,
9310,variable,4732,رنگ,"قهوه ای لویی ویتون ریز, کرم Coach, کرم چهارخونه, مشکی لیزارد",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",1,1,1,"تعداد بند",3.0,1,1,1,,default,9312,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۲۰cm, عرض: ۱۰cm, کف: ۱۵cm",1,1,,,,,,,,,,,,,,,,,,,
9320,variable,4734,رنگ,"طوسی روشن شرانگ, کرم شرانگ, مشکی شرانگ, نسکافه ای شرانگ",0,1,کاربرد,اسپرت,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",ندارد,1,1,"تعداد بند",1.0,1,1,1,,default,9322,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۲۵cm, عرض: ۱۰cm, کف: ۱۲cm",1,1,,,,,,,,,,,,,,,,,,,
9327,variable,4736,رنگ,"مشکی طرح 1, مشکی طرح 2, مشکی طرح 3, مشکی لویی ویتون داغی",0,1,کاربرد,رسمی,1,1,"جنس آستر",ساتن,1,1,"بند بلند",دارد,1,1,"تعداد جیب داخلی",2,1,1,"تعداد بند",1,1,1,1,,default,9331,"جنس رویه","چرم مصنوعی",1,1,ابعاد,"طول: ۲۰cm, عرض: ۵cm",1,1,,,,,,,,,,,,,,,,,,,
