post_type,post_title,post_status,sku,parent_sku,regular_price,sale_price,manage_stock,stock_quantity,categories,description,short_description,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,images,gallery_images,gallery_image_alt,image_filename,image_titles,image_alt,sale_tag,attribute:color,attribute_name:color,attribute:application,attribute_name:application,attribute:closure-style,attribute_name:closure-style,attribute:lining-material,attribute_name:lining-material,attribute:long-strap,attribute_name:long-strap,attribute:number-of-inside-pockets,attribute_name:number-of-inside-pockets,attribute:number-of-outside-pockets,attribute_name:number-of-outside-pockets,attribute:number-of-straps,attribute_name:number-of-straps,attribute:outer-material,attribute_name:outer-material,attribute:suitable-for,attribute_name:suitable-for,attribute:dimention,attribute_name:dimention,attribute:bag-type,attribute_name:bag-type
product_variation,,publish,4702-cream dior,4702,606000,,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4702-main.webp,,,passport-bag-4702-main.webp,کیف پاسپورتی کد ۴۷۰۲ - کرم دیور,کیف پاسپورتی کد ۴۷۰۲ - کرم دیور,,کرم دیور,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4702-black michael kors - large logo,4702,606000,,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4702-black-michael-kors-large-logo.webp,,,passport-bag-4702-black-michael-kors-large-logo.webp,کیف پاسپورتی کد ۴۷۰۲ - مشکی MK درشت,کیف پاسپورتی کد ۴۷۰۲ - مشکی MK درشت,,مشکی MK درشت,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4702-black michael kors - small logo,4702,606000,,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4702-main.webp,,,passport-bag-4702-main.webp,کیف پاسپورتی کد ۴۷۰۲ - مشکی MK ریز,کیف پاسپورتی کد ۴۷۰۲ - مشکی MK ریز,,مشکی MK ریز,رنگ,,,,,,,,,,,,,,,,,,,,,,
product,کیف پاسپورتی کد ۴۷۰۸,publish,4708,,911000,729000.0,yes,,اکسسوری>کیف پاسپورتی,,,کیف پاسپورتی کد 4708,خرید کیف پاسپورتی کد 4708 به رنگ آبی و زرشکی و سبز مغز پسته ای با کیفیت عالی و قیمت مناسب از فروشگاه لوکس‌باز,کیف پاسپورتی کد 4708,https://luxbaz.com/product/passport-bag-4708/,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-main.webp,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-main.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-burgundy.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-light-gray.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-brown.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-black.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-01.webp|https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-02.webp,کیف پاسپورتی کد 4708|کیف پاسپورتی کد 4708 رنگ burgundy|کیف پاسپورتی کد 4708 رنگ light gray|کیف پاسپورتی کد 4708 رنگ brown|کیف پاسپورتی کد 4708 رنگ black|کیف پاسپورتی کد 4708 - نمای 01|کیف پاسپورتی کد 4708 - نمای 02,passport-bag-4708-main.webp|passport-bag-4708-burgundy.webp|passport-bag-4708-light-gray.webp|passport-bag-4708-brown.webp|passport-bag-4708-black.webp|passport-bag-4708-01.webp|passport-bag-4708-02.webp,,کیف پاسپورتی کد 4708,تخفیف خورده‌ها,آبی|زرشکی|سبز مغز پسته ای|سرمه ای|سفید|صورتی|طوسی روشن|عسلی|قهوه ای|مشکی|نسکافه ای,رنگ,روزمره,کاربرد,قفل,نحوه بسته شدن کیف,ساتن,جنس آستر,دارد,بند بلند,1,تعداد جیب داخلی,1,تعداد جیب بیرونی,1.0,تعداد بند,چرم مصنوعی,جنس رویه,من,مناسب برای,طول: ۱۶cm|عرض: ۳۰cm|کف: ۸cm,dimention,,
product_variation,,publish,4708-blue,4708,911000,729000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-main.webp,,,passport-bag-4708-main.webp,کیف پاسپورتی کد ۴۷۰۸ - آبی,کیف پاسپورتی کد ۴۷۰۸ - آبی,,آبی,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4708-burgundy,4708,911000,729000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-burgundy.webp,,,passport-bag-4708-burgundy.webp,کیف پاسپورتی کد ۴۷۰۸ - زرشکی,کیف پاسپورتی کد ۴۷۰۸ - زرشکی,,زرشکی,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4708-pistachio green,4708,911000,729000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-main.webp,,,passport-bag-4708-main.webp,کیف پاسپورتی کد ۴۷۰۸ - سبز مغز پسته ای,کیف پاسپورتی کد ۴۷۰۸ - سبز مغز پسته ای,,سبز مغز پسته ای,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4708-navy blue,4708,911000,729000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-main.webp,,,passport-bag-4708-main.webp,کیف پاسپورتی کد ۴۷۰۸ - سرمه ای,کیف پاسپورتی کد ۴۷۰۸ - سرمه ای,,سرمه ای,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4708-white,4708,911000,729000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-main.webp,,,passport-bag-4708-main.webp,کیف پاسپورتی کد ۴۷۰۸ - سفید,کیف پاسپورتی کد ۴۷۰۸ - سفید,,سفید,رنگ,,,,,,,,,,,,,,,,,,,,,,
product_variation,,publish,4708-pink,4708,911000,729000.0,yes,10,,,,,,,,https://luxbaz.com/wp-content/uploads/2026/07/passport-bag-4708-main.webp,,,passport-bag-4708-main.webp,کیف پاسپورتی کد ۴۷۰۸ - صورتی,کیف پاسپورتی کد ۴۷۰۸ - صورتی,,صورتی,رنگ,,,,,,,,,,,,,,,,,,,,,,
